;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
148; 13 Place Annapurna;74000;Annecy ;45.916984;6.134023;5.26;2.01;1.98;;3.38;2.2;1.52
149; 13 Quai De Marne;51200;Épernay ;49.049182;3.961266;4.6;1.59;1.59;;2.99;2.15;1.29
150; 13 Rue Bellecombe;69100;Villeurbanne ;45.769684;4.863317;5.26;2.01;1.98;2.95;3.38;2.2;1.52
151; 13 Rue De L'eglise;35800;Saint-Lunaire ;48.63487;-2.107469;;2.21;;;3.17;;1.51
152; 13 Rue De Saget Quai De Paludate;33800;Bordeaux ;44.829751;-0.556662;4.65;1.59;1.55;2.21;2.99;4.3;1.25
153; 13 Rue Des Cygnes 0;57100;Thionville ;49.356879;6.164129;4.65;1.59;1.54;2.21;2.99;2.29;1.25
154; 13 Rue General Bares;31000;Toulouse ;43.57483329999999;1.4625398000000587;5.68;2.07;2.2;2.9;3.6;2.45;1.58
155; 13 Rue Paul Lafargue;92800;Puteaux ;48.884769;2.247645;5.13;2.03;2.16;2.85;3.66;2.32;1.64
156; 13-15 R. Saint Denis;92700;Colombes ;48.923615;2.257956;6.5;1.97;1.93;2.86;3.32;;1.51
157; 13-15 Rue D/La Barre;71000;Mâcon ;46.3059123;4.8312083000001;5.58;2.01;;3.16;3.58;2.4;
158; 13-17 Rue Du 501eme Ri;37000;Tours ;47.393474;0.668661;4.65;1.59;1.39;2.21;2.95;1.99;1.25
159; 130 Place Du General De Gaulle;62215;Oye-Plage ;50.97804;2.04166;5.01;2.07;1.76;2.87;2.99;2.13;1.28
160; 130 Rue Du Grand But;59160;Lomme ;50.652431;2.976368;4.6;1.49;1.55;2.39;2.99;2.15;1.25
161; 130 Voie Des Contamines;38890;St Chef En Daup ;45.639795;5.358431;;1.75;;;;2.35;
162; 131 Rue Du General De Gaulle;78300;Poissy ;48.927934;2.043403000000012;5.39;1.96;2.09;2.85;2.99;2.25;1.6
163; 132 Cours Victor Hugo;33000;Bordeaux ;44.83492;-0.57281;4.79;1.65;1.54;2.33;2.99;4.3;
164; 1326 Avenue De L'europe;34170;Castelnau-le-Lez ;43.631911;3.911641;4.65;1.59;1.39;2.21;2.99;4.18;1.25
165; 133 Rue De La Republique;69330;Meyzieu ;45.765528;5.011533;;1.59;1.55;;;2.09;1.25
166; 134 Avenue De Geneve;74000;Annecy ;45.92461;6.12391;;1.59;1.59;;2.99;2.29;1.35
167; 134 Avenue Gallieni;10300;Sainte-Savine ;48.293515;4.04883;5.15;1.79;1.9;;3.05;2.4;1.29
168; 135route De La Reine;92100;Boulogne-Billancourt ;48.840636;2.228834;5.54;2.03;2.16;2.85;3.66;2.32;1.64
169; 136 Bis Boulevard Gambetta Bp 71035;06000;Nice ;43.70909;7.256169;;2.01;2.03;2.95;3.38;2.2;1.52
170; 136 Boulevard Joliot Curie;69200;Vénissieux ;45.716216;4.875606;;1.49;1.55;;2.99;1.99;1.25
171; 136 Rue Lamarck;75018;Paris ;48.891316;2.331887;;;;;;;
172; 137 Rue Falguiere;75015;Paris ;48.836742;2.310517;5.54;2.03;;;;2.32;1.64
